Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Chaparral Shrubland,2,SYVCM_50A010Y,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,66851,SYVCM_50A010Y,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,24,SYVCM_50A010Y,SH3,143,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,25733,SYVCM_50A010Y,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,11817,SYVCM_50A010Y,SH5,145,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Grassland,2111,SYVCM_50A010Y,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,42143,SYVCM_50A010Y,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,62,SYVCM_50A010Y,GR3,103,Adjacent unburned 1 km buffer (>20 yr),GR3,103
Grass–Shrub,5177,SYVCM_50A010Y,GS1,121,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,72796,SYVCM_50A010Y,GS2,122,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,2017,SYVCM_50A010Y,GS3,123,Adjacent unburned 1 km buffer (>20 yr),GS3,123
Nonburnable,4989,SYVCM_50A010Y,NB1,91,Adjacent unburned 1 km buffer (>20 yr),NB1,91
Nonburnable,1311,SYVCM_50A010Y,NB3,93,Adjacent unburned 1 km buffer (>20 yr),NB3,93
Nonburnable,21,SYVCM_50A010Y,NB8,98,Adjacent unburned 1 km buffer (>20 yr),NB8,98
Nonburnable,2512,SYVCM_50A010Y,NB9,99,Adjacent unburned 1 km buffer (>20 yr),NB9,99
Timber Litter,10,SYVCM_50A010Y,TL2,182,Adjacent unburned 1 km buffer (>20 yr),TL2,182
Timber Litter,3010,SYVCM_50A010Y,TL3,183,Adjacent unburned 1 km buffer (>20 yr),TL3,183
Timber Litter,4968,SYVCM_50A010Y,TL4,184,Adjacent unburned 1 km buffer (>20 yr),TL4,184
Timber Litter,17,SYVCM_50A010Y,TL5,185,Adjacent unburned 1 km buffer (>20 yr),TL5,185
Timber Litter,1640,SYVCM_50A010Y,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,19,SYVCM_50A010Y,TL7,187,Adjacent unburned 1 km buffer (>20 yr),TL7,187
Timber Litter,2,SYVCM_50A010Y,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Woodland (Drainages),2115,SYVCM_50A010Y,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU2,162
Woodland (Drainages),103,SYVCM_50A010Y,TU3,163,Adjacent unburned 1 km buffer (>20 yr),TU3,163
Woodland (Drainages),8651,SYVCM_50A010Y,TU5,165,Adjacent unburned 1 km buffer (>20 yr),TU5,165
