Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Chaparral Shrubland,625,Cuyama,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,162,Cuyama,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,28,Cuyama,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,712,Cuyama,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,187,Cuyama,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,30,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,503,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,3119,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,16,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,17,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,251,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,18,Cuyama,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,1,Cuyama,SH5,145,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Grassland,30,Cuyama,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,2,Cuyama,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,5804,Cuyama,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,1801,Cuyama,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,1,Cuyama,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,590,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,789,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,3065,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,1344,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,42,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,146,Cuyama,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
