Vegetation Type,Sample Number,Sample Area (scar),LF24 model (scar),Raster code (scar),Reference Sample Area,LF24 model (ref),Raster code (ref)
Chaparral Shrubland,10565,Alisal Fire 2021,SH1,141,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,20884,Alisal Fire 2021,SH2,142,Adjacent unburned 1 km buffer (>20 yr),SH5,145
Chaparral Shrubland,23,Alisal Fire 2021,SH3,143,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,15,Alisal Fire 2021,SH4,144,Adjacent unburned 1 km buffer (>20 yr),SH4,144
Chaparral Shrubland,2,Alisal Fire 2021,SH6,146,Adjacent unburned 1 km buffer (>20 yr),SH6,146
Grassland,5925,Alisal Fire 2021,GR1,101,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,17933,Alisal Fire 2021,GR2,102,Adjacent unburned 1 km buffer (>20 yr),GR2,102
Grassland,3,Alisal Fire 2021,GR3,103,Adjacent unburned 1 km buffer (>20 yr),GR3,103
Grass–Shrub,10445,Alisal Fire 2021,GS1,121,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Grass–Shrub,3545,Alisal Fire 2021,GS2,122,Adjacent unburned 1 km buffer (>20 yr),GS2,122
Nonburnable,1256,Alisal Fire 2021,NB1,91,Adjacent unburned 1 km buffer (>20 yr),NB1,91
Nonburnable,1,Alisal Fire 2021,NB3,93,Adjacent unburned 1 km buffer (>20 yr),NB3,93
Nonburnable,10,Alisal Fire 2021,NB8,98,Adjacent unburned 1 km buffer (>20 yr),NB8,98
Nonburnable,332,Alisal Fire 2021,NB9,99,Adjacent unburned 1 km buffer (>20 yr),NB9,99
Timber Litter,413,Alisal Fire 2021,TL1,181,Adjacent unburned 1 km buffer (>20 yr),TL1,181
Timber Litter,50,Alisal Fire 2021,TL2,182,Adjacent unburned 1 km buffer (>20 yr),TL2,182
Timber Litter,651,Alisal Fire 2021,TL3,183,Adjacent unburned 1 km buffer (>20 yr),TL3,183
Timber Litter,171,Alisal Fire 2021,TL4,184,Adjacent unburned 1 km buffer (>20 yr),TL4,184
Timber Litter,8,Alisal Fire 2021,TL5,185,Adjacent unburned 1 km buffer (>20 yr),TL5,185
Timber Litter,668,Alisal Fire 2021,TL6,186,Adjacent unburned 1 km buffer (>20 yr),TL6,186
Timber Litter,1105,Alisal Fire 2021,TL8,188,Adjacent unburned 1 km buffer (>20 yr),TL8,188
Woodland (Drainages),1844,Alisal Fire 2021,TU1,161,Adjacent unburned 1 km buffer (>20 yr),TU5,165
Woodland (Drainages),23,Alisal Fire 2021,TU2,162,Adjacent unburned 1 km buffer (>20 yr),TU3,163
